"Brand";"SKU";"Category";"Title";"Description";"Text";"Photo";"Price";"Price Old";"Quantity";"Characteristics:Материал";"Characteristics:Крепление";"Characteristics:Предельная нагрузка";"Characteristics:Габариты";"Modifications"
"GEEK NOOK";"GN-FS-001";"Подставки Focus Station";"Focus Station 900";"Флагманская подставка под монитор с модульной направляющей T-Track. Идеальная геометрия и премиальная текстура тёмного дерева.";"Подставка под монитор GEEK NOOK Focus Station 900 с модульной системой T-Track для удобной настройки под себя. Поднимает монитор на эргономичную высоту для глаз, снижая напряжение в шее. Верхний и нижний пазы позволяют закрепить держатели для ноутбука, планшета, наушников или смартфона. Натуральное чёрное дерево прочное, с гладкой нескользящей поверхностью и сохранённой глубокой текстурой.";"https://static.tildacdn.com/tild6138-3463-4138-b133-323262633039/2.jpg https://static.tildacdn.com/tild3763-3337-4662-b233-616531316364/3.jpg https://static.tildacdn.com/tild3739-6130-4661-a434-643832633933/4.jpg https://static.tildacdn.com/tild6633-3236-4433-a537-306430356538/6.jpg";"19990";"25000";"99";"Натуральное чёрное дерево, анодированная сталь";"Фирменный направляющий паз T-Track";"до 45 кг";"85–90 см";"Длина: 85 см; 116 см"
"GEEK NOOK";"GN-FS-002";"Подставки Focus Station";"Focus Station 600";"Компактная настольная подставка из натурального дуба с тёплым золотистым отливом. Идеальна для небольших столов.";"Тёплый оттенок натурального дуба придает рабочему месту скандинавский уют и визуальную лёгкость. Фирменная модульная система T-Track позволяет закрепить любые аксессуары GeekNook.";"https://static.tildacdn.com/tild3136-6262-4465-a663-376665626135/photo.jpg https://static.tildacdn.com/tild3637-3261-4364-b133-386465326266/16.jpg https://static.tildacdn.com/tild3865-6364-4366-b431-633031353238/27.jpg";"15490";"19500";"99";"Натуральный массив и шпон дуба, матовая сталь";"T-Track модульная система";"до 45 кг";"60–70 см";"Длина: 60 см; 85 см"
"GEEK NOOK";"GN-FS-003";"Подставки Focus Station";"Focus Station 1200";"Увеличенная база 116 см для двух больших мониторов или сетапа монитор + ноутбук. Благородный рисунок американского ореха.";"Просторное решение для требовательных профессионалов. Позволяет организовать рабочее место с двумя мониторами и спрятать под полку полноразмерную клавиатуру, трекпад и блок питания.";"https://static.tildacdn.com/tild3763-3337-4662-b233-616531316364/3.jpg https://static.tildacdn.com/tild6335-3035-4235-b932-393935393563/26.jpg https://static.tildacdn.com/tild3466-6262-4864-b463-663737363436/7.jpg";"24990";"29000";"99";"Натуральный американский орех, матовая сталь";"T-Track модульная система";"до 60 кг";"116–120 см";"Длина: 116 см; 120 см"
"GEEK NOOK";"GN-ACC-001";"Модульные аксессуары T-Track";"Headphone Stand";"Кронштейн для наушников с фетровой подложкой. Крепится в паз T-Track и всегда держит наушники под рукой.";"Кронштейн для наушников подходит для всех полноразмерных моделей. Крепится к любой модели подставки GEEK NOOK Focus Station, свободно перемещается по длине и фиксируется. Изготавливается из стали, контактная дуга проложена плотным фетром, исключающим царапины и деформацию оголовья.";"https://static.tildacdn.com/tild3031-6663-4663-a262-613532636338/photo.jpg";"2999";"3800";"99";"Сталь, премиальный шерстяной фетр";"В паз T-Track подставки Focus Station";"";"";""
"GEEK NOOK";"GN-ACC-002";"Модульные аксессуары T-Track";"Gamepad Stand";"Эргономичная подставка для геймпадов PlayStation и Xbox. Фиксирует контроллер под удобным углом.";"Держатель для контроллера спроектирован с учетом геометрии современных геймпадов. Фетровые демпферы бережно фиксируют корпус, не допуская люфтов и потертостей.";"https://static.tildacdn.com/tild3039-3737-4533-b936-653936613663/2_2.jpg https://static.tildacdn.com/tild3165-3839-4064-b237-353264643561/3_1.jpg";"2990";"3600";"99";"Анодированная сталь, фетровые вставки";"Паз T-Track или отдельная настольная установка";"";"";""
"GEEK NOOK";"GN-ACC-003";"Модульные аксессуары T-Track";"Phone Dock";"Подвесная док-станция для смартфона. Уведомления считываются взглядом, а стол остаётся свободным.";"Закрепляется по центру или сбоку подставки Focus Station. Позволяет разблокировать телефон взглядом через FaceID прямо во время набора текста на клавиатуре.";"https://static.tildacdn.com/tild6566-3439-4264-a237-633566656531/6.jpg https://static.tildacdn.com/tild3232-6365-4338-b132-623837373036/21.jpg";"2490";"3200";"99";"Сталь, шерстяной фетр, силикон";"Нижний направляющий паз Focus Station";"";"";""
"GEEK NOOK";"GN-ACC-004";"Модульные аксессуары T-Track";"Cable Organizer";"Подвесной металлический кабель-менеджер для сетевых фильтров и блоков питания. Никаких проводов на столе.";"Скрывает визуальный шум проводов позади подставки. Все блоки питания и излишки кабелей аккуратно укладываются в вентилируемый металлический лоток.";"https://static.tildacdn.com/tild3931-6666-4933-a466-373836393933/1.jpg https://static.tildacdn.com/tild3164-3565-4065-b830-316632303363/3_2.jpg";"1990";"2500";"99";"Конструкционная сталь, порошковое покрытие";"Задняя грань Focus Station";"";"";""
"GEEK NOOK";"GN-ACC-005";"Модульные аксессуары T-Track";"Laptop Stand Open";"Поднимает экран ноутбука в одну линию с основным монитором, разгружая шею.";"Позволяет комфортно работать с двумя экранами. Устанавливается в боковой паз подставки Focus Station.";"https://static.tildacdn.com/tild6164-3836-4261-b133-303933386431/1_3.jpg https://static.tildacdn.com/tild3964-6430-4136-a462-383932396266/_.jpg";"4999";"6200";"99";"Легированная сталь, защитный фетр";"Система T-Track";"";"";""
"GEEK NOOK";"GN-ACC-006";"Модульные аксессуары T-Track";"Laptop Stand Closed";"Вертикальный фиксатор закрытого ноутбука. Освобождает максимум места на столе.";"Специальный карман с мягким фетровым ложем удерживает ноутбук вертикально. Идеально для работы с внешним монитором.";"https://static.tildacdn.com/tild6336-3964-4636-b638-653866643238/1_2.jpg https://static.tildacdn.com/tild6164-3836-4261-b133-303933386431/1_3.jpg";"4490";"5500";"99";"Легированная сталь, фетровый защитный слот";"Система T-Track";"";"";""
"GEEK NOOK";"GN-ACC-007";"Модульные аксессуары T-Track";"Mac Studio / Mini Shelf";"Подвешивает Mac Studio или Mac mini под полку Focus Station. Полное освобождение стола.";"Специальная инженерная полка подвешивает ваш Mac снизу основания, сохраняя идеальную циркуляцию воздуха и свободный доступ к разъёмам.";"https://static.tildacdn.com/tild3132-6562-4533-a638-646132613661/1_1.jpg https://static.tildacdn.com/tild6565-3263-4938-b233-376334646532/14.jpg";"4999";"5900";"99";"Сталь с вентиляционной перфорацией, фетр";"";"";"";""
